id,source,title,url,author,posted_at,hn_score,hn_comments,fetched_at,llm_signal_strength,llm_investment_relevance,llm_market_impact,llm_tag,llm_flag,llm_translation,prompt_version,model,input_tokens,output_tokens,cache_write_tokens,cache_read_tokens,cost_usd,run_timestamp
hn:48741012,hackernews,The President Made More Than $1Billon in Crypto Deals,https://www.wsj.com/politics/policy/trump-made-more-than-1-billion-on-crypto-deals-part-of-2025-windfall-ee917d3f,fortran77,2026-07-01T00:27:56+00:00,66,10,2026-07-01T02:39:41+00:00,7,4,6,macro,skim,"Trump's $1B+ crypto gains signal administration alignment with digital assets; watch for regulatory posture shifts (SEC enforcement, stablecoin framework) that could reshape crypto market structure over 2 years, but this is personality-tied noise unless it triggers actual policy action.",news_v0.3,claude-haiku-4-5,2667,122,0,0,0.003277,2026-06-30T22:39:50
hn:48736605,hackernews,Claude Sonnet 5,https://www.anthropic.com/news/claude-sonnet-5,marinesebastian,2026-06-30T17:59:52+00:00,889,499,2026-07-01T02:39:41+00:00,7,6,5,ai,skim,"Anthropic ships incremental capability milestone in the foundation-model arms race. Matters for competitive positioning (vs. OpenAI/Google) and raises the bar for AI infrastructure spend, but lacks a named catalyst (regulatory, funding event, or disclosed enterprise win) that would move public equities within 2 years.",news_v0.3,claude-haiku-4-5,2631,132,0,0,0.003291,2026-06-30T22:39:52
hn:48734373,hackernews,Claude Code is steganographically marking requests,https://thereallo.dev/blog/claude-code-prompt-steganography,kirushik,2026-06-30T15:44:24+00:00,1429,409,2026-07-01T02:39:41+00:00,7,6,5,ai,skim,Technical discovery that Anthropic's Claude is embedding hidden markers in code outputs raises questions about model transparency and potential liability—relevant to AI governance risk but unclear if this changes commercial viability or regulatory trajectory within 2 years.,news_v0.3,claude-haiku-4-5,2634,111,0,0,0.003189,2026-06-30T22:39:54
hn:48740698,hackernews,Google copybara: moving code between repositories,https://github.com/google/copybara,reconnecting,2026-06-30T23:45:39+00:00,49,6,2026-07-01T02:39:41+00:00,4,2,1,other,skip,Low signal.,news_v0.3,claude-haiku-4-5,2625,67,0,0,0.00296,2026-06-30T22:39:55
hn:48740771,hackernews,Department of Commerce has lifted export controls on Claude Fable 5 and Mythos 5,https://twitter.com/AnthropicAI/status/2072106151890809341,Pragmata,2026-06-30T23:55:12+00:00,232,90,2026-07-01T02:39:41+00:00,2,3,2,ai,skip,Low signal.,news_v0.3,claude-haiku-4-5,2650,67,0,0,0.002985,2026-06-30T22:39:56
hn:48739466,hackernews,From brain waves to words: a new path to communication without surgery,https://ai.meta.com/blog/brain2qwerty-brain-ai-human-communication/?_fb_noscript=1,alok-g,2026-06-30T21:29:13+00:00,109,58,2026-07-01T02:39:42+00:00,7,5,4,ai,skim,"Meta demonstrates non-invasive brain-computer interface (BCI) decoding text from EEG signals—real capability win for neural interfaces. Early-stage tech with 2-5 year commercialization horizon; watch for follow-on funding rounds and clinical partnerships that could reshape assistive-tech sector, but not a near-term portfolio mover.",news_v0.3,claude-haiku-4-5,2652,140,0,0,0.003352,2026-06-30T22:39:59
hn:48735770,hackernews,Claude Science,https://claude.com/product/claude-science,lebovic,2026-06-30T17:07:41+00:00,371,122,2026-07-01T02:39:42+00:00,7,7,6,ai,read,"Anthropic launches Claude Science, a specialized model for scientific research workflows. This signals intensifying competition among foundation-model providers to own vertical-specific use cases; MSFT/OpenAI and GOOGL/DeepMind are converging on the same strategy, raising the bar for proprietary moats and suggesting sustained capex pressure on compute infrastructure.",news_v0.3,claude-haiku-4-5,2618,139,0,0,0.003313,2026-06-30T22:40:01
hn:48735444,hackernews,Nano Banana 2 Lite,https://deepmind.google/models/gemini-image/flash-lite/,minimaxir,2026-06-30T16:48:37+00:00,308,120,2026-07-01T02:39:42+00:00,3,4,2,ai,skip,Low signal.,news_v0.3,claude-haiku-4-5,2634,67,0,0,0.002969,2026-06-30T22:40:04
hn:48738938,hackernews,Leanstral 1.5,https://docs.mistral.ai/models/model-cards/leanstral-1-5-26-06,vetronauta,2026-06-30T20:44:56+00:00,102,19,2026-07-01T02:39:43+00:00,7,6,4,ai,skim,"Mistral releases a new foundational model iteration, signaling continued competition in open-weight LLMs. Relevant to the AI infrastructure thesis but lacks named-company catalyst or benchmark data; watch for adoption signals and whether it shifts compute demand away from OpenAI/Anthropic closed models.",news_v0.3,claude-haiku-4-5,2643,127,0,0,0.003278,2026-06-30T22:40:06
hn:48740135,hackernews,Hatari – Online Atari ST/STE/TT/Falcon Emulator,https://hatari.frama.io/hatari/online/hatari.html,gregsadetsky,2026-06-30T22:34:23+00:00,33,3,2026-07-01T02:39:43+00:00,2,1,1,other,skip,Low signal.,news_v0.3,claude-haiku-4-5,2648,67,0,0,0.002983,2026-06-30T22:40:07
hn:48738985,hackernews,I ported Kubernetes to the browser,https://ngrok.com/blog/i-ported-kubernetes-to-the-browser,peterdemin,2026-06-30T20:48:36+00:00,167,55,2026-07-01T02:39:43+00:00,5,2,1,other,skip,Low signal.,news_v0.3,claude-haiku-4-5,2636,67,0,0,0.002971,2026-06-30T22:40:09
hn:48739919,hackernews,TabFM: A zero-shot foundation model for tabular data,https://research.google/blog/introducing-tabfm-a-zero-shot-foundation-model-for-tabular-data/,brandonb,2026-06-30T22:08:38+00:00,39,6,2026-07-01T02:39:44+00:00,7,5,4,ai,skim,"Google announces a foundation model for tabular data, expanding the applicability of large models beyond text/image domains. Relevant to AI infrastructure and model capability thesis, but more academic milestone than near-term commercial catalyst.",news_v0.3,claude-haiku-4-5,2651,109,0,0,0.003196,2026-06-30T22:40:11
hn:48736137,hackernews,I built a mmWave material classification radar (2025),https://gauthier-lechevalier.com/radar,GL26,2026-06-30T17:29:36+00:00,142,38,2026-07-01T02:39:44+00:00,6,3,2,other,skim,"DIY mmWave radar project with solid technical execution; interesting for robotics/autonomous sensing architectures but no commercial catalyst or named-company read. Belongs in the operator's 'watch sensor stack evolution' folder, not a decision driver.",news_v0.3,claude-haiku-4-5,2632,116,0,0,0.003212,2026-06-30T22:40:13
hn:48723484,hackernews,CERN bids farewell to the LHC and enters Long Shutdown 3,https://home.cern/cern-bids-farewell-to-the-lhc-and-enters-long-shutdown-3/,HelloUsername,2026-06-29T18:52:25+00:00,119,32,2026-07-01T02:39:44+00:00,5,2,2,other,skip,Low signal.,news_v0.3,claude-haiku-4-5,2658,67,0,0,0.002993,2026-06-30T22:40:14
hn:48738262,hackernews,"Tokyo has only two barley tea makers, we visited one to see how mugicha is made",https://soranews24.com/2026/06/30/tokyo-has-only-two-barley-tea-makers-and-we-visited-one-to-see-how-mugicha-is-made/,zdw,2026-06-30T19:47:24+00:00,75,12,2026-07-01T02:39:44+00:00,3,1,1,other,skip,Low signal.,news_v0.3,claude-haiku-4-5,2678,67,0,0,0.003013,2026-06-30T22:40:15
