id,source,title,url,author,posted_at,hn_score,hn_comments,fetched_at,llm_signal_strength,llm_investment_relevance,llm_market_impact,llm_tag,llm_flag,llm_translation,prompt_version,model,input_tokens,output_tokens,cache_write_tokens,cache_read_tokens,cost_usd,run_timestamp
hn:48406640,hackernews,Meta enables adb on deprecated Portal devices,https://fb.watch/HxPu0fSyeH/,jenders,2026-06-05T00:44:38+00:00,49,12,2026-06-05T02:00:46+00:00,4,2,1,other,skip,Low signal.,news_v0.2,claude-haiku-4-5,2516,67,0,0,0.002851,2026-06-04T22:01:00
hn:48405931,hackernews,Do transformers need three projections? Systematic study of QKV variants,https://arxiv.org/abs/2606.04032,Anon84,2026-06-04T23:11:56+00:00,92,13,2026-06-05T02:00:46+00:00,6,4,2,ai,skim,Academic deep-dive on transformer architecture efficiency (QKV projection design). Relevant to inference cost and model scaling but too far upstream to affect public equities within 2 years; monitor for downstream adoption by NVDA/MSFT infra teams.,news_v0.2,claude-haiku-4-5,2523,119,0,0,0.003118,2026-06-04T22:01:03
hn:48403980,hackernews,Anthropic's open-source framework for AI-powered vulnerability discovery,https://github.com/anthropics/defending-code-reference-harness,binyu,2026-06-04T20:11:20+00:00,268,94,2026-06-05T02:00:46+00:00,6,5,4,ai,skim,"Anthropic releases open-source security tooling leveraging Claude, demonstrating capability in enterprise use cases. Relevant to foundation-model moat thesis but incremental; watch for adoption velocity as signal of enterprise stickiness.",news_v0.2,claude-haiku-4-5,2522,112,0,0,0.003082,2026-06-04T22:01:05
hn:48406358,hackernews,Open Code Review – An AI-powered code review CLI tool,https://github.com/alibaba/open-code-review,geoffbp,2026-06-05T00:04:29+00:00,33,4,2026-06-05T02:00:46+00:00,4,3,2,ai,skip,Low signal.,news_v0.2,claude-haiku-4-5,2518,67,0,0,0.002853,2026-06-04T22:01:06
hn:48398055,hackernews,VoidZero Is Joining Cloudflare,https://blog.cloudflare.com/voidzero-joins-cloudflare/,coloneltcb,2026-06-04T13:00:51+00:00,575,258,2026-06-05T02:00:47+00:00,6,5,3,ai,skim,"Cloudflare acquires VoidZero (likely an AI/security startup); incremental M&A that signals Cloudflare's continued expansion into AI-assisted security. Watch for integration progress and revenue contribution over next 2 quarters, but unlikely to move the needle on NET valuation materially without disclosed synergy targets.",news_v0.2,claude-haiku-4-5,2525,135,0,0,0.0032,2026-06-04T22:01:08
hn:48400842,hackernews,When AI Builds Itself: Our progress toward recursive self-improvement,https://www.anthropic.com/institute/recursive-self-improvement,meetpateltech,2026-06-04T16:20:17+00:00,332,440,2026-06-05T02:00:47+00:00,7,8,7,ai,read,"Anthropic research on recursive self-improvement signals a material capability frontier that could reshape AI moat dynamics. Direct relevance to MSFT (OpenAI partner) and GOOGL (DeepMind) positioning; if self-improvement proves scalable, it favors incumbents with compute/data/talent density and pressures open-source competitors.",news_v0.2,claude-haiku-4-5,2523,139,0,0,0.003218,2026-06-04T22:01:12
hn:48397028,hackernews,Ian's Secure Shoelace Knot,https://www.fieggen.com/shoelace/secureknot.htm,mooreds,2026-06-04T11:17:34+00:00,509,194,2026-06-05T02:00:48+00:00,2,1,1,other,skip,Low signal.,news_v0.2,claude-haiku-4-5,2522,67,0,0,0.002857,2026-06-04T22:01:13
hn:48404905,hackernews,Queen bees emerge from special wax chambers,https://cen.acs.org/materials/biobased-materials/queen-bees-special-wax/104/web/2026/06,gmays,2026-06-04T21:31:31+00:00,45,4,2026-06-05T02:00:48+00:00,3,1,1,other,skip,Low signal.,news_v0.2,claude-haiku-4-5,2536,67,0,0,0.002871,2026-06-04T22:01:14
hn:48405019,hackernews,IPv6 zones in URLs are a mistake,https://xeiaso.net/notes/2026/ipv6-zones-go-url/,xena,2026-06-04T21:42:34+00:00,85,70,2026-06-05T02:00:48+00:00,4,1,1,other,skip,Low signal.,news_v0.2,claude-haiku-4-5,2523,67,0,0,0.002858,2026-06-04T22:01:16
hn:48399974,hackernews,KVarN: Native vLLM backend for KV-cache quantization by Huawei,https://github.com/huawei-csl/KVarN,theanonymousone,2026-06-04T15:18:00+00:00,114,12,2026-06-05T02:00:48+00:00,7,6,5,ai,skim,"Huawei open-sources a vLLM optimization for KV-cache quantization, reducing inference memory footprint. Relevant to the AI-infrastructure thesis (lower inference costs favor cloud-capex spending and edge deployment), but the impact is primarily on software efficiency rather than hardware demand—modest tailwind for NVDA and datacentre operators, not a catalyst.",news_v0.2,claude-haiku-4-5,2534,144,0,0,0.003254,2026-06-04T22:01:19
hn:48400588,hackernews,Retro-Tech Parenting,https://havenweb.org/2026/05/28/retro-tech.html,mawise,2026-06-04T16:02:35+00:00,249,170,2026-06-05T02:00:48+00:00,3,1,1,other,skip,Low signal.,news_v0.2,claude-haiku-4-5,2520,67,0,0,0.002855,2026-06-04T22:01:21
hn:48404732,hackernews,Show HN: Mercek – A Desktop IDE for AWS ECS,https://www.mercek.dev/,utibeumanah,2026-06-04T21:15:16+00:00,27,6,2026-06-05T02:00:48+00:00,3,2,1,other,skip,Low signal.,news_v0.2,claude-haiku-4-5,2518,67,0,0,0.002853,2026-06-04T22:01:22
hn:48403377,hackernews,WSL 2 is getting faster Windows file system access,https://www.boxofcables.dev/wsl2-per-device-swiotlb-pools-for-virtiofs-and-virtioproxy/,haydenbarnes,2026-06-04T19:21:18+00:00,64,45,2026-06-05T02:00:49+00:00,5,2,1,other,skip,Low signal.,news_v0.2,claude-haiku-4-5,2544,67,0,0,0.002879,2026-06-04T22:01:23
hn:48403753,hackernews,Castor: CERN Advanced STORage Manager,https://castor.web.cern.ch/content/home.html,naves,2026-06-04T19:52:02+00:00,43,18,2026-06-05T02:00:49+00:00,4,1,2,other,skip,Low signal.,news_v0.2,claude-haiku-4-5,2520,67,0,0,0.002855,2026-06-04T22:01:24
